Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/fb/464ce517799c0b01138b14fdb1c9dd/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep3_R1.mzML,/nextflow_runs/work/49/fff17fe9717f1f92c3b4f3077568c3/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep2_R1.mzML,/nextflow_runs/work/05/0ef9e12a9f67c211060c7bab5069a9/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep4_R1.mzML,/nextflow_runs/work/4a/9432495e41bd8bbe87c9d3638261ab/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep3_R1.mzML,/nextflow_runs/work/32/cfdc447731b6ae3eeb8a1a59d80f7d/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep2_R1.mzML,/nextflow_runs/work/a5/0d03ac2c94125adce7ed102f01d7b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep1_R1.mzML,/nextflow_runs/work/41/7194089913d508dfafd83cefbf2d44/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep1_R1.mzML,/nextflow_runs/work/87/7227e97a34af4640a32017e9bedaf0/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep4_R1.mzML
Q9D826,Q9D826,SOX_MOUSE,Pipox,Peroxisomal sarcosine oxidase,648950,727867,668627,702429,784092,773248,835156,776548
Q9D855,Q9D855,QCR7_MOUSE,Uqcrb,Cytochrome b-c1 complex subunit 7,1.11E+06,843935,1.08E+06,1.07E+06,1.56E+06,1.35E+06,1.34E+06,1.16E+06
Q9D880,Q9D880,TIM50_MOUSE,Timm50,Mitochondrial import inner membrane translocase subunit TIM50,19124.4,26317.3,21727.9,23172.8,19458.1,26024.7,26784.5,23084.6
Q9D882,Q9D882,F241B_MOUSE,Fam241b,Protein FAM241B,,6201.35,,3133.19,2599.85,4129.81,3653.93,5249.78
Q9D892,Q9D892,ITPA_MOUSE,Itpa,Inosine triphosphate pyrophosphatase,221412,211249,200288,207308,195685,176595,196247,226253
Q9D898,Q9D898,ARP5L_MOUSE,Arpc5l,Actin-related protein 2/3 complex subunit 5-like protein,66697.8,67083.5,57613.8,65947,59933,59554.6,64508.2,52445.1
Q9D8B1,Q9D8B1,AIG1_MOUSE,Aig1,Androgen-induced gene 1 protein,,979.023,4008.51,2110.18,1248.39,1030.16,,6689.74
Q9D8B3,Q9D8B3,CHM4B_MOUSE,Chmp4b,Charged multivesicular body protein 4b,249337,214294,288913,268003,326457,262817,267202,248259
Q9D8B4,Q9D8B4,NDUAB_MOUSE,Ndufa11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,7621.5,10028.2,4127.64,5950.37,,5513.39,8369.16,4639.34
Q9D8B6,Q9D8B6,F210B_MOUSE,Fam210b,"Protein FAM210B, mitochondrial",300353,228436,261315,251962,271073,249379,265114,310719
Q9D8C4,Q9D8C4,IN35_MOUSE,Ifi35,Interferon-induced 35 kDa protein homolog,22394.3,31023.9,30393.4,27921,32173.4,30763.2,32005.6,27397.7
Q9D8C8,Q9D8C8,PPR35_MOUSE,Ppp1r35,Protein phosphatase 1 regulatory subunit 35,27403.9,15987,37586.3,23686.2,1813.68,2261.66,1197.97,29193.7
Q9D8E6,Q9D8E6,RL4_MOUSE,Rpl4,Large ribosomal subunit protein uL4,7712.67,6185.02,13301.9,6920.27,5585.5,5276.58,7040.56,3695.56
Q9D8H7,Q9D8H7,OMA1_MOUSE,Oma1,"Metalloendopeptidase OMA1, mitochondrial",24489.2,16413.5,26302.9,26491.3,26946.2,25625.1,13893.7,25058
Q9D8L5,Q9D8L5,CCD91_MOUSE,Ccdc91,Coiled-coil domain-containing protein 91,36543.8,30455,32118.4,34106.8,32983.6,31664,23682.2,18521.3
Q9D8N0,Q9D8N0,EF1G_MOUSE,Eef1g,Elongation factor 1-gamma,3534.21,1628.28,,2730.58,2708.71,1435.83,3980.46,3600.39
Q9D8P7,Q9D8P7,TF3C6_MOUSE,Gtf3c6,General transcription factor 3C polypeptide 6,79248.9,60174.1,63281.2,38155.3,70631,38625.6,60923,67124.3
Q9D8S3,Q9D8S3,ARFG3_MOUSE,Arfgap3,ADP-ribosylation factor GTPase-activating protein 3,4774.35,4339.2,,7155.14,5901.51,7600.07,4827.7,4036.73
Q9D8S4,Q9D8S4,ORN_MOUSE,Rexo2,"Oligoribonuclease, mitochondrial",114704,125077,116495,130113,104041,132822,111756,125246
Q9D8S9,Q9D8S9,BOLA1_MOUSE,Bola1,BolA-like protein 1,19076.2,31092.8,21728.7,28176.3,32793.3,34225.3,34032.5,18169.2
Q9D8T2,Q9D8T2,GSDMD_MOUSE,Gsdmd,Gasdermin-D,56421.1,71108.2,61583.7,68519.8,69399.7,65133.5,65049.2,66360.8
Q9D8T4,Q9D8T4,TV23B_MOUSE,Tvp23b,Golgi apparatus membrane protein TVP23 homolog B,9401.58,14117.2,11463.6,11573.1,10770.3,9812.06,10088.6,9523.68
Q9D8T7,Q9D8T7,SLIRP_MOUSE,Slirp,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",27915.6,38565.7,33235.4,37612.7,50743.9,42811.7,47552.1,29254.7
Q9D8U2,Q9D8U2,TM41A_MOUSE,Tmem41a,Transmembrane protein 41A,14326.2,19370.7,17223.5,25403.8,18171.9,24320.4,17937.8,14843.9
Q9D8U8,Q9D8U8,SNX5_MOUSE,Snx5,Sorting nexin-5,10356.4,14674.3,16907.1,11770,10852.3,11447.1,12533.6,11089.7
Q9D8V0,Q9D8V0,HM13_MOUSE,Hm13,Minor histocompatibility antigen H13,60342.4,52881.8,61004.8,63097.5,56092.8,57824.1,49135,57042
Q9D8W7,Q9D8W7,OCAD2_MOUSE,Ociad2,OCIA domain-containing protein 2,47943.6,36938,36573.3,41362.7,68742.2,43846.7,59757,47999.9
Q9D8X0,Q9D8X0,MANBL_MOUSE,Manbal,Protein MANBAL,2363.82,9250.99,5134.09,6522.6,7650.21,6603.78,4483.91,1328.06
Q9D8X1,Q9D8X1,CUTC_MOUSE,Cutc,Copper homeostasis protein cutC homolog,35417.9,32507,35579.2,32094.7,34966.9,29361.7,33908.8,35563.8
Q9D8X2,Q9D8X2,CC124_MOUSE,Ccdc124,Coiled-coil domain-containing protein 124,112999,137608,124005,133187,129835,125187,125026,105316
Q9D8Y0,Q9D8Y0,EFHD2_MOUSE,Efhd2,EF-hand domain-containing protein D2,403639,342999,416352,400310,445360,401590,444058,409576
Q9D8Y1,Q9D8Y1,T126A_MOUSE,Tmem126a,Transmembrane protein 126A,109997,146302,103518,133059,125205,131741,126793,123867
Q9D902,Q9D902,T2EB_MOUSE,Gtf2e2,General transcription factor IIE subunit 2,21351.2,15782.9,21996.1,28768.7,22241.8,25353,19194.5,18033.3
Q9D920,Q9D920,BORC5_MOUSE,Borcs5,BLOC-1-related complex subunit 5,15495.2,12669.6,17886.6,15180.8,17707.8,15924.2,13348.1,17740.1
Q9D924,Q9D924,ISCA1_MOUSE,Isca1,"Iron-sulfur cluster assembly 1 homolog, mitochondrial",28459.4,22699.6,21829.9,23818,30529.5,30304.3,22909.7,25252.5
Q9D937,Q9D937,CK098_MOUSE,,Uncharacterized protein C11orf98 homolog,13159.6,10580.3,14321.8,9882.17,14447.7,20378,10601.7,12282.3
Q9D938,Q9D938,TM160_MOUSE,Tmem160,Transmembrane protein 160,56066.8,47533.2,62817.6,61579,59399.8,53679.3,64286,57690.7
Q9D958,Q9D958,SPCS1_MOUSE,Spcs1,Signal peptidase complex subunit 1,29987.4,9853.04,20504.9,33540.1,56710.9,23408.5,44156.6,36899.2
Q9D964,Q9D964,GATM_MOUSE,Gatm,"Glycine amidinotransferase, mitochondrial",,1479.15,6106.61,3838.09,3708.21,4570.66,4812.1,5324.84
Q9D967,Q9D967,MGDP1_MOUSE,Mdp1,Magnesium-dependent phosphatase 1,6850.61,5404.29,7522.83,6983.82,5359.09,10368.4,7568.05,5708.75
Q9D9H8,Q9D9H8,CB069_MOUSE,,Mitochondrial protein C2orf69 homolog,39175.8,40609.6,47922.8,38329,39579.4,40704.3,39375.7,36450.2
Q9D9K3,Q9D9K3,AVEN_MOUSE,Aven,Cell death regulator Aven,9959.19,11773.4,8704.63,13055.2,12570.6,11724.9,8245.74,9040.04
Q9D9V3,Q9D9V3,ECHD1_MOUSE,Echdc1,Ethylmalonyl-CoA decarboxylase,584399,529261,587115,700138,650241,652240,644716,585725
Q9DA03,Q9DA03,LYRM7_MOUSE,Lyrm7,Complex III assembly factor LYRM7,9130.06,10316.2,11330.7,12007.5,12364.9,13828.4,10407.5,14790.2
Q9DA19,Q9DA19,CIR1_MOUSE,Cir1,Corepressor interacting with RBPJ 1,6098.44,2633.44,5489.28,6600.96,4075.84,,2783.81,4945.26
Q9DAK9,Q9DAK9,PHP14_MOUSE,Phpt1,14 kDa phosphohistidine phosphatase,120507,131163,121976,125664,150089,160546,164390,132987
Q9DAM5,Q9DAM5,TPC_MOUSE,Slc25a19,Mitochondrial thiamine pyrophosphate carrier,9515.96,12523.8,9220.72,10266.8,7785.1,8021.9,7065.1,14151
Q9DAM7,Q9DAM7,TM263_MOUSE,Tmem263,Transmembrane protein 263,11853.5,9080.09,10271.2,13485.4,14203.7,11755.6,10395.2,10555.5
Q9DAR7,Q9DAR7,DCPS_MOUSE,Dcps,m7GpppX diphosphatase,144956,156498,173825,154860,153622,169899,157178,190471
Q9DAS9,Q9DAS9,GBG12_MOUSE,Gng12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,20640.5,47004.3,57412.3,51365.9,60885.9,53303.9,53539,45669.8
Q9DAU1,Q9DAU1,CNPY3_MOUSE,Cnpy3,Protein canopy homolog 3,256079,233301,285114,244118,245091,264047,241742,249795
Q9DAV9,Q9DAV9,TM38B_MOUSE,Tmem38b,Trimeric intracellular cation channel type B,4660.36,2494.26,3264.03,7557.7,2331.56,5503.96,3524.87,2203.28
Q9DAW9,Q9DAW9,CNN3_MOUSE,Cnn3,Calponin-3,49103.2,62910.8,45907.6,46275.4,50090.6,54259,52871.2,47824.1
Q9DAZ9,Q9DAZ9,ANCHR_MOUSE,Zfyve19,Abscission/NoCut checkpoint regulator,53263.3,38334,38002.6,42583.5,42726.2,37675.8,37006.4,36870.8
Q9DB05,Q9DB05,SNAA_MOUSE,Napa,Alpha-soluble NSF attachment protein,28456.5,33758.2,37773.5,30852.2,40571.7,42647,35924.5,32029
Q9DB10,Q9DB10,EMRE_MOUSE,Smdt1,"Essential MCU regulator, mitochondrial",13435.9,13622,11252,15166.6,15465.3,14842.3,13283.7,7545.23
Q9DB15,Q9DB15,RM12_MOUSE,Mrpl12,Large ribosomal subunit protein bL12m,25444.8,25971.1,16937.2,20009,24090.6,34342.2,30825.5,22654.2
Q9DB20,Q9DB20,ATPO_MOUSE,Atp5po,"ATP synthase subunit O, mitochondrial",226380,225536,254542,256801,221854,231224,306710,280739
Q9DB27,Q9DB27,MCTS1_MOUSE,Mcts1,Malignant T-cell-amplified sequence 1,9674.08,12527.1,10822.4,9053.16,6805.99,6732.92,12213.7,11260.4
Q9DB29,Q9DB29,IAH1_MOUSE,Iah1,Isoamyl acetate-hydrolyzing esterase 1 homolog,133666,123921,119729,115257,180385,170191,174296,134674
Q9DB30,Q9DB30,PHKG2_MOUSE,Phkg2,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",44063,,41444.1,33133.9,57903.8,60520.9,,
Q9DB34,Q9DB34,CHM2A_MOUSE,Chmp2a,Charged multivesicular body protein 2a,139787,150874,172510,144688,138180,144745,162784,156980
Q9DB42,Q9DB42,ZN593_MOUSE,Znf593,Zinc finger protein 593,8741.38,8925.9,6183.94,8986.78,9140.95,10186.8,11702.5,10596.8
Q9DB43,Q9DB43,ZFPL1_MOUSE,Zfpl1,Zinc finger protein-like 1,12188.1,6637.57,,5400.5,5777.82,8963.78,7143.73,5178.62
Q9DB52,Q9DB52,PBIR1_MOUSE,Pabir1,P2R1A-PPP2R2A-interacting phosphatase regulator 1,,,,2591.03,1378.56,2452.37,2681.21,2497.15
Q9DB70,Q9DB70,FUND1_MOUSE,Fundc1,FUN14 domain-containing protein 1,5095.27,1058.11,5108.1,6329.43,5567.25,,4578.89,3089.82
Q9DB77,Q9DB77,QCR2_MOUSE,Uqcrc2,"Cytochrome b-c1 complex subunit 2, mitochondrial",1.56E+06,1.21E+06,1.51E+06,1.58E+06,1.97E+06,1.73E+06,2.02E+06,1.79E+06
Q9DB94,Q9DB94,WDR53_MOUSE,Wdr53,WD repeat-containing protein 53,6652.48,4748.57,9079.07,10526.6,5475.28,3987.09,7610.72,4106.7
Q9DB98,Q9DB98,LENG1_MOUSE,Leng1,Leukocyte receptor cluster member 1 homolog,4692.27,7731.43,8867.18,7481.72,6013.38,6758.47,6760.52,6526.46
Q9DBA6,Q9DBA6,TYSD1_MOUSE,Tysnd1,Peroxisomal leader peptide-processing protease,2282.12,4895.97,4006.13,1764.77,4270.71,5455.52,3887.26,5557.61
Q9DBA8,Q9DBA8,HUTI_MOUSE,Amdhd1,Probable imidazolonepropionase,546698,504609,602578,478310,565912,577836,567907,543956
Q9DBB8,Q9DBB8,DHDH_MOUSE,Dhdh,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase",818828,714749,746834,851601,928807,898474,923140,780925
Q9DBB9,Q9DBB9,CPN2_MOUSE,Cpn2,Carboxypeptidase N subunit 2,18628.2,23135.8,16544.8,20844.4,21555.6,18994.2,19911.7,17918
Q9DBC3,Q9DBC3,CMTR1_MOUSE,Cmtr1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,16538.6,,10967.7,17182.6,13632.6,13668.1,12752.4,
Q9DBC7,Q9DBC7,KAP0_MOUSE,Prkar1a,cAMP-dependent protein kinase type I-alpha regulatory subunit,6830.77,6814.62,7242.27,7534.97,8017.65,4669.58,6235.45,4339.14
Q9DBD0,Q9DBD0,ICA_MOUSE,Ica,Inhibitor of carbonic anhydrase,116827,114183,124806,83332.9,130208,127825,128636,91524
Q9DBD2,Q9DBD2,MARH8_MOUSE,Marchf8,E3 ubiquitin-protein ligase MARCHF8,3598.2,,2598.09,2010.15,2396.42,4691.68,1824.25,4551.56
Q9DBE0,Q9DBE0,CSAD_MOUSE,Csad,Cysteine sulfinic acid decarboxylase,214412,247369,199510,208255,223731,243326,247589,205430
Q9DBF1,Q9DBF1,AL7A1_MOUSE,Aldh7a1,Alpha-aminoadipic semialdehyde dehydrogenase,3.20E+06,2.71E+06,3.00E+06,3.04E+06,3.03E+06,2.70E+06,2.99E+06,3.16E+06
Q9DBF7,Q9DBF7,CWC25_MOUSE,Cwc25,Pre-mRNA-splicing factor CWC25 homolog,3280.53,3588.62,4218.54,3106.21,5099.02,5660.21,4309.73,
Q9DBG1,Q9DBG1,CP27A_MOUSE,Cyp27a1,"Sterol 26-hydroxylase, mitochondrial",108001,75169.6,86615.1,99624,90937.1,105274,101032,89814.4
Q9DBG3,Q9DBG3,AP2B1_MOUSE,Ap2b1,AP-2 complex subunit beta,26040.6,24579.8,15362.1,16152.7,20055.5,26182.4,26101.8,27894.6
Q9DBG5,Q9DBG5,PLIN3_MOUSE,Plin3,Perilipin-3,194097,176781,186306,176788,236700,212304,217676,177421
Q9DBG6,Q9DBG6,RPN2_MOUSE,Rpn2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,8575.15,8576.94,9601.19,10335.2,7318.85,12582.7,8936.54,6757.44
Q9DBG7,Q9DBG7,SRPRA_MOUSE,Srpra,Signal recognition particle receptor subunit alpha,82178.1,82734.6,77602.8,91638.7,103173,93658.5,98487,84320.4
Q9DBH0,Q9DBH0,WWP2_MOUSE,Wwp2,NEDD4-like E3 ubiquitin-protein ligase WWP2,,3604.89,,2406.44,2682.57,,,2647.4
Q9DBH5,Q9DBH5,LMAN2_MOUSE,Lman2,Vesicular integral-membrane protein VIP36,103271,98284.3,90738.8,106604,96552.6,113004,102794,92609.8
Q9DBI0,Q9DBI0,TMPS6_MOUSE,Tmprss6,Transmembrane protease serine 6,15565.8,11833.4,12860.1,12646.9,12804.1,10880.3,10744.2,10593.6
Q9DBJ1,Q9DBJ1,PGAM1_MOUSE,Pgam1,Phosphoglycerate mutase 1,57553.4,31354.7,42821.5,39856.7,98336.5,48812.7,84145.8,63737.5
Q9DBJ3,Q9DBJ3,BI2L1_MOUSE,Baiap2l1,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,14239.9,21050.2,17540.2,20437.6,18108,16519.3,19824,14435
Q9DBK0,Q9DBK0,ACO12_MOUSE,Acot12,Acetyl-coenzyme A thioesterase,14532.4,10378.3,10472,13640.3,11294.4,11070.6,12642.3,10516
Q9DBL1,Q9DBL1,ACDSB_MOUSE,Acadsb,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",75061.4,65241.7,57382.2,66699.8,71014.8,64382.9,64843.3,56528.2
Q9DBM1,Q9DBM1,GPTC1_MOUSE,Gpatch1,G patch domain-containing protein 1,,,1287.28,2119.91,2037.41,3107,,
Q9DBM2,Q9DBM2,ECHP_MOUSE,Ehhadh,Peroxisomal bifunctional enzyme,47522.3,40888,45977.9,48102.4,39036.3,43454,46164.6,51023.1
Q9DBN1,Q9DBN1,STR6L_MOUSE,Stra6l,Stimulated by retinoic acid gene 6 protein-like,8695.17,5819.14,7177.33,7541.4,7840.8,7719.84,6122.9,7627.99
Q9DBN4,Q9DBN4,P33MX_MOUSE,P33monox,Putative monooxygenase p33MONOX,7808.37,6759.4,7662.02,8385.8,5143.84,4882.33,4858.54,6347.22
Q9DBP5,Q9DBP5,KCY_MOUSE,Cmpk1,UMP-CMP kinase,198034,183425,203033,184008,224066,177767,220781,229238
Q9DBR0,Q9DBR0,AKAP8_MOUSE,Akap8,A-kinase anchor protein 8,13406.1,11163.5,13753.8,13078.8,13700.8,12491.6,12590.3,14051.1
Q9DBR1,Q9DBR1,XRN2_MOUSE,Xrn2,5'-3' exoribonuclease 2,99480.4,86666,105455,93438.6,97661,98581.5,91729.6,92973.4
Q9DBR4,Q9DBR4,APBB2_MOUSE,Apbb2,Amyloid beta precursor protein binding family B member 2,,,,824.6,,,,1666.74
Q9DBR7,Q9DBR7,MYPT1_MOUSE,Ppp1r12a,Protein phosphatase 1 regulatory subunit 12A,102358,101886,101924,105644,109626,110012,106393,100890
Q9DBS1,Q9DBS1,TMM43_MOUSE,Tmem43,Transmembrane protein 43,6122.12,,1791.97,,2824.2,5469.92,,6894.64
Q9DBS5,Q9DBS5,KLC4_MOUSE,Klc4,Kinesin light chain 4,21139.9,25705,22873.5,21751.2,20343.3,24482.2,19393.3,23133.6
Q9DBT5,Q9DBT5,AMPD2_MOUSE,Ampd2,AMP deaminase 2,66186.7,76589,65749.2,69611.9,67981.9,67663.8,69540,70707.4
Q9DBT9,Q9DBT9,M2GD_MOUSE,Dmgdh,"Dimethylglycine dehydrogenase, mitochondrial",35307.8,18707.2,31613.7,32864.3,28394.2,28262.2,24703.5,41028.4
Q9DBU6,Q9DBU6,RSRC1_MOUSE,Rsrc1,Serine/Arginine-related protein 53,3449.77,,,8483.13,4421.68,1748.22,1780.76,1744.12
Q9DBW0,Q811W2;Q9DBW0,CP4V2_MOUSE,Cyp4v2,Cytochrome P450 4V2,140570,145440,130152,156278,168163,164534,166385,133632
Q9DBX2,Q9DBX2,PHLP_MOUSE,Pdcl,Phosducin-like protein,5637.22,6523.24,6245.91,8019.17,4304.46,5452.67,5372.55,4788.65
Q9DBX3,Q9DBX3,SUSD2_MOUSE,Susd2,Sushi domain-containing protein 2,21952.9,19864.1,25278.4,21693.3,35377.3,26163.6,25891.9,19708.3
Q9DBY1,Q9DBY1,SYVN1_MOUSE,Syvn1,E3 ubiquitin-protein ligase synoviolin,37979.7,31540.9,41893.6,39574.9,29175.6,37649.4,31883.7,25525.7
Q9DC07,Q9DC07,LNEBL_MOUSE,Nebl,LIM zinc-binding domain-containing Nebulette,3442.39,,,1333.15,1351.98,,1041.9,2203.67
Q9DC16,Q9DC16,ERGI1_MOUSE,Ergic1,Endoplasmic reticulum-Golgi intermediate compartment protein 1,7716.17,9346.18,6423.76,6391.95,8291.38,9002.74,5960.38,13675.1
Q9DC26,Q9DC26,S46A3_MOUSE,Slc46a3,Lysosomal proton-coupled steroid conjugate and bile acid symporter SLC46A3,5466.11,6529.09,,5945.56,8167.08,5074.85,5884.09,2676.78
Q9DC29,Q9DC29,ABCB6_MOUSE,Abcb6,ATP-binding cassette sub-family B member 6,16158.3,15478.5,13724.2,15481,15713.3,15124.9,12034.8,15585
Q9DC37,Q9DC37,MFSD1_MOUSE,Mfsd1,Major facilitator superfamily domain-containing protein 1,16230.6,17325,14015.5,15653.1,21017.7,21033.2,16774.4,21772.5
Q9DC50,Q9DC50,OCTC_MOUSE,Crot,Peroxisomal carnitine O-octanoyltransferase,88673.4,104580,87696.2,97395.5,86444.9,85977.3,88833.5,104193
Q9DC51,Q9DC51,GNAI3_MOUSE,Gnai3,Guanine nucleotide-binding protein G(i) subunit alpha-3,12237.9,14254.6,15358.3,12149.3,26563.6,19920.1,25134.6,18257.8
Q9DC61,Q9DC61,MPPA_MOUSE,Pmpca,Mitochondrial-processing peptidase subunit alpha,7226,4797.13,6453.83,4171.67,2927.82,4913.29,5034.66,5357.03
Q9DC69,Q9DC69,NDUA9_MOUSE,Ndufa9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",10288,5902.43,13544.9,15182.7,9925.79,7120.98,9322.42,13737.7
Q9DC70,Q9DC70,NDUS7_MOUSE,Ndufs7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",6187.05,5539.48,7187.32,11427.6,6058.97,9613.48,8412.51,8802.04
Q9DCB1,Q9DCB1,HMGN3_MOUSE,Hmgn3,High mobility group nucleosome-binding domain-containing protein 3,5353.12,,,7271.66,4748.34,,5638.91,7424.86
Q9DCB8,Q9DCB8,ISCA2_MOUSE,Isca2,"Iron-sulfur cluster assembly 2 homolog, mitochondrial",24066.5,23679.4,30251.4,32361.3,27490,33140.2,33397.5,26423.5
Q9DCC3,Q9DCC3,CC107_MOUSE,Ccdc107,Coiled-coil domain-containing protein 107,,4763.94,6995.34,3674.26,3065.12,4100.63,2917,
Q9DCC4,Q9DCC4,P5CR3_MOUSE,Pycr3,Pyrroline-5-carboxylate reductase 3,92886.1,99006.4,82684.3,103941,118828,95394.7,137453,125417
Q9DCC7,Q9DCC7,ISC2B_MOUSE,Isoc2b,Isochorismatase domain-containing protein 2B,62832.9,71197.1,59495.4,64951.2,51504.8,57234.6,65016.7,68632.5
Q9DCC8,Q9DCC8,TOM20_MOUSE,Tomm20,Mitochondrial import receptor subunit TOM20 homolog,13164.2,9822.8,17230.2,5582.52,18889.3,18402,17919.7,15359.4
Q9DCD0,Q9DCD0,6PGD_MOUSE,Pgd,"6-phosphogluconate dehydrogenase, decarboxylating",20712.7,17140.7,26103.8,18467.2,17935.7,21738.6,21217.6,21018.8
Q9DCF9,Q9DCF9,SSRG_MOUSE,Ssr3,Translocon-associated protein subunit gamma,97168.1,172305,123741,114938,147584,99189,143645,132052
Q9DCG2,Q9DCG2,CD302_MOUSE,Cd302,CD302 antigen,41694.9,28421.3,40914.9,40264.2,50263.7,44138.5,49493,43065.4
Q9DCG6,Q9DCG6,PBLD1_MOUSE,Pbld1,Phenazine biosynthesis-like domain-containing protein 1,708878,721747,717420,718184,1.10E+06,701443,842960,846867
Q9DCH6,Q9DCH6,ZFAN6_MOUSE,Zfand6,AN1-type zinc finger protein 6,140596,107091,124490,132849,112357,116894,129844,136265
Q9DCI3,Q9DCI3,STR3N_MOUSE,Stard3nl,STARD3 N-terminal-like protein,5867.57,5679.55,4177.26,8024.25,8520.17,6263.54,7340.91,5846.53
Q9DCI9,Q9DCI9,RM32_MOUSE,Mrpl32,Large ribosomal subunit protein bL32m,9843.23,7368.98,7713.47,7583.79,11611.7,10775,8611.34,8262.58
Q9DCJ5,Q9DCJ5,NDUA8_MOUSE,Ndufa8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,75670.2,63852.1,68449.4,77266.9,100600,77889.9,113088,89082
Q9DCJ9,Q9DCJ9,NPL_MOUSE,Npl,N-acetylneuraminate lyase,35958.4,27707,33831.4,32952,32867.3,30688.7,32743.4,35166
Q9DCK3,Q9DCK3,TSN4_MOUSE,Tspan4,Tetraspanin-4,44963,30913.6,28023.6,39332,45541.7,15050.1,24315.9,23928.8
Q9DCL2,Q9DCL2,CIA2A_MOUSE,Ciao2a,Cytosolic iron-sulfur assembly component 2A,11984.7,12656,17641.6,11203.6,10919.5,11612.3,9892.52,14066.6
Q9DCL8,Q9DCL8,IPP2_MOUSE,Ppp1r2,Protein phosphatase inhibitor 2,57393.2,46449.7,77019.6,59999.6,90600,67312.2,86789.5,69770
Q9DCL9,Q9DCL9,PUR6_MOUSE,Paics,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,452510,325972,428677,397504,455053,414864,434226,389091
Q9DCM0,Q9DCM0,ETHE1_MOUSE,Ethe1,"Persulfide dioxygenase ETHE1, mitochondrial",104494,98604.8,83671.2,110414,97445.1,106635,104345,101014
Q9DCM2,Q9DCM2,GSTK1_MOUSE,Gstk1,Glutathione S-transferase kappa 1,122002,67579.9,130297,67937.7,103885,120042,68160.9,89998
Q9DCN1,Q9DCN1,NUD12_MOUSE,Nudt12,NAD-capped RNA hydrolase NUDT12,19408.2,8238.92,22092.1,10089.2,16821.5,20399.8,8018.34,10002
Q9DCN2,Q9DCN2,NB5R3_MOUSE,Cyb5r3,NADH-cytochrome b5 reductase 3,61540.1,57886.7,57254.9,54631.4,59045.6,55288.7,61482.6,56300.3
Q9DCP2,Q9DCP2,S38A3_MOUSE,Slc38a3,Sodium-coupled neutral amino acid transporter 3,156003,152219,138701,160664,217120,177607,218023,164449
Q9DCQ2,Q9DCQ2,ASPDH_MOUSE,Aspdh,Aspartate dehydrogenase domain-containing protein,1.55E+06,1.14E+06,1.49E+06,1.17E+06,1.57E+06,1.50E+06,1.64E+06,1.30E+06
Q9DCR2,Q9DCR2,AP3S1_MOUSE,Ap3s1,AP-3 complex subunit sigma-1,2142.28,8535.11,6089.49,5897.96,5290.82,4827.28,2886.3,
Q9DCS1,Q9DCS1,T176A_MOUSE,Tmem176a,Transmembrane protein 176A,,5321.96,,11330.7,22813.6,,22236.4,
Q9DCS2,Q9DCS2,MTL26_MOUSE,Mettl26,Methyltransferase-like 26,8521.3,9612.32,10344.9,8775.05,6833.65,7767.75,9752.88,8394.08
Q9DCS3,Q9DCS3,MECR_MOUSE,Mecr,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial",13932.2,9994.77,15976.2,11915.9,10499.9,11813.8,14126.5,18812.9
Q9DCS9,Q9DCS9,NDUBA_MOUSE,Ndufb10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,608842,757563,595330,645114,734487,664490,707473,707872
Q9DCT2,Q9DCT2,NDUS3_MOUSE,Ndufs3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",14597.5,22752,17392.6,16917.4,26709.2,14805.3,23590.8,21211.1
Q9DCT5,Q9DCT5,SDF2_MOUSE,Sdf2,Stromal cell-derived factor 2,12536,13343.1,12336.1,8653.02,15466.1,11134.8,18153.6,6549.57
Q9DCT8,Q9DCT8,CRIP2_MOUSE,Crip2,Cysteine-rich protein 2,23335.7,25909.9,26497.5,33725.4,24018.2,21742.2,28259.5,27580.8
