Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
Q922K7,Q922K7,NOP2_MOUSE,Nop2,Probable 28S rRNA (cytosine-C(5))-methyltransferase,28559.1,36450.9,28559.5,29959.7,26798.9,30804,32559.4,31263.2
Q922L6,Q922L6,NELFD_MOUSE,Nelfcd,Negative elongation factor D,,,2419.71,,,1463.48,2763.59,
Q922P9,Q922P9,GLYR1_MOUSE,Glyr1,Cytokine-like nuclear factor N-PAC,8696.14,,23041.6,3813.45,8487.42,11791.9,16891.1,18852.4
Q922Q1,Q922Q1,MARC2_MOUSE,Mtarc2,Mitochondrial amidoxime reducing component 2,2.19E+06,2.58E+06,2.55E+06,2.41E+06,2.70E+06,2.48E+06,2.54E+06,2.65E+06
Q922Q1;Q9CW42,Q9CW42;Q922Q1,MARC1_MOUSE;MARC2_MOUSE,Mtarc1;Mtarc2,Mitochondrial amidoxime reducing component 2,1.99E+06,,2.92E+06,2.77E+06,2.74E+06,2.86E+06,2.69E+06,2.90E+06
Q922Q4,Q922Q4,P5CR2_MOUSE,Pycr2,Pyrroline-5-carboxylate reductase 2,9393.96,9280.33,9942.8,9671.26,10903.9,11560.9,11069.7,7670.79
Q922Q5,Q922Q5,S35B3_MOUSE,Slc35b3,Adenosine 3'-phospho 5'-phosphosulfate transporter 2,3631.97,,6493.72,5534.15,6086.38,10831.7,4095.73,3565.46
Q922Q8,Q922Q8,LRC59_MOUSE,Lrrc59,Leucine-rich repeat-containing protein 59,2.01E+06,2.01E+06,2.07E+06,1.83E+06,1.98E+06,1.77E+06,1.97E+06,2.06E+06
Q922Q9,Q922Q9,CHID1_MOUSE,Chid1,Chitinase domain-containing protein 1,27178.7,35244.7,31933.9,34215,30646.7,33130.6,37152.1,35246.3
Q922R1,Q922R1,PHAF1_MOUSE,Phaf1,Phagosome assembly factor 1,18356.2,15014.9,17067.2,18288.2,20341,22347.2,23121.4,20016.4
Q922R5,Q922R5,P4R3B_MOUSE,Ppp4r3b,Serine/threonine-protein phosphatase 4 regulatory subunit 3B,5923.49,,5157.5,5170.08,,3774.38,4437.82,2870.31
Q922R8,Q922R8,PDIA6_MOUSE,Pdia6,Protein disulfide-isomerase A6,1.21E+06,2.23E+06,2.47E+06,1.89E+06,2.32E+06,2.48E+06,2.23E+06,2.63E+06
Q922S4,Q922S4,PDE2A_MOUSE,Pde2a,"cGMP-dependent 3',5'-cyclic phosphodiesterase",38519.3,30822.3,33958.8,37337.9,30175.7,39278.4,37739.6,30564.5
Q922U1,Q922U1,PRPF3_MOUSE,Prpf3,U4/U6 small nuclear ribonucleoprotein Prp3,20847.8,21446.2,21491.8,20472.6,20815.4,22481.5,19130.5,20918.7
Q922U2,Q922U2,K2C5_MOUSE,Krt5,"Keratin, type II cytoskeletal 5",14731.8,31013.9,31362.9,18692.7,14556.4,10441.5,36389,3070.49
Q922V4,Q922V4,PLRG1_MOUSE,Plrg1,Pleiotropic regulator 1,33516.3,71816.1,71465.5,65332.6,80946.8,65056.9,73131.6,68812.8
Q922X9,Q922X9,ANM7_MOUSE,Prmt7,Protein arginine N-methyltransferase 7,1520.93,3246.44,3837.92,5657.5,6436.26,4191.47,5111.81,4731.12
Q922Y1,Q922Y1,UBXN1_MOUSE,Ubxn1,UBX domain-containing protein 1,195688,187749,215030,198189,198000,220046,201798,185949
Q922Z0,Q922Z0,OXDD_MOUSE,Ddo,D-aspartate oxidase,7340.88,9199.16,,,,7699.22,,4017.14
Q923B1,Q923B1,DBR1_MOUSE,Dbr1,Lariat debranching enzyme,28744.5,23295.4,29680.9,25691.1,24174.6,26071.3,29212.3,26532.1
Q923B6,Q923B6,STEA4_MOUSE,Steap4,Metalloreductase STEAP4,173315,170541,172567,175002,156697,148040,147488,168110
Q923D2,Q923D2,BLVRB_MOUSE,Blvrb,Flavin reductase (NADPH),423515,635811,672779,582237,705241,716946,716814,686247
Q923D4,Q923D4,SF3B5_MOUSE,Sf3b5,Splicing factor 3B subunit 5,16503,13907.6,21336.8,23769.1,14507.6,29022.5,18999.8,14106.4
Q923D5,Q923D5,WBP11_MOUSE,Wbp11,WW domain-binding protein 11,72237.7,77027.4,78849.8,77082.4,80215.4,71889.5,83842.3,86538.9
Q923G2,Q923G2,RPAB3_MOUSE,Polr2h,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",16260.9,32217.7,33814.1,30903.7,30703.4,40224,34637.1,29748
Q923T9,Q923T9,KCC2G_MOUSE,Camk2g,Calcium/calmodulin-dependent protein kinase type II subunit gamma,10901.8,12311.2,11006.6,1914.45,11199.2,,,4512.86
Q923U0,Q923U0,TM1L1_MOUSE,Tom1l1,TOM1-like protein 1,45414.4,58814.7,46469.3,45027.2,45374.3,46008.2,51478.9,46286.3
Q923X1,Q923X1,AGRL4_MOUSE,Adgrl4,Adhesion G protein-coupled receptor L4,12507.2,15887.7,15770,17480.4,13311.1,10119.3,13042.6,14180.1
Q923X4,Q923X4,GLRX2_MOUSE,Glrx2,"Glutaredoxin-2, mitochondrial",18919.3,20380.5,23668.8,21782.3,21556.2,22316.4,19454,20225.7
Q923Z3,Q923Z3,MTO1_MOUSE,Mto1,"Protein MTO1 homolog, mitochondrial",13935.6,13447.3,10080.8,11867.7,11863,11631.5,12571.5,9778.39
Q924A2,Q924A2,CIC_MOUSE,Cic,Protein capicua homolog,27986,29418.8,30334.9,25186.3,26336,23767.7,27706.4,28974.7
Q924C1,Q924C1,XPO5_MOUSE,Xpo5,Exportin-5,3926.69,5206.06,,4356.06,3890.29,3885.34,,3424.83
Q924C6,Q924C6,LOXL4_MOUSE,Loxl4,Lysyl oxidase homolog 4,5869.01,10036.5,10712.1,5238.83,9787.19,7419.01,8577.8,7174.76
Q924D0,Q924D0,RT4I1_MOUSE,Rtn4ip1,"Reticulon-4-interacting protein 1, mitochondrial",30515.8,19523.3,21453.8,25362.4,26768.7,23952.7,22747,23448.4
Q924H7,Q924H7,WAC_MOUSE,Wac,WW domain-containing adapter protein with coiled-coil,8968.29,6129.63,6780.04,10079.4,14107.2,8128.99,8654.82,8332.13
Q924H9,Q924H9,DQX1_MOUSE,Dqx1,ATP-dependent RNA helicase DQX1,3482.56,8194.84,7265.31,9516.04,6427.71,6987.66,3850.07,7739.93
Q924K8,Q924K8,MTA3_MOUSE,Mta3,Metastasis-associated protein MTA3,11370,,6969.36,,6505.83,6666.87,8481.61,8619.96
Q924L1,Q924L1,LTMD1_MOUSE,Letmd1,LETM1 domain-containing protein 1,54775,83173.1,83904.9,76042.9,74377.7,72957.1,85240.8,78504.4
Q924M7,Q924M7,MPI_MOUSE,Mpi,Mannose-6-phosphate isomerase,49556.5,134047,127561,120634,122841,122418,117180,120766
Q924T2,Q924T2,RT02_MOUSE,Mrps2,Small ribosomal subunit protein uS2m,30629.9,41622,28769,26073.8,24014.4,26662.9,27902.7,30689.9
Q924T3,Q924T3,XRCC4_MOUSE,Xrcc4,DNA repair protein XRCC4,31625,36901.3,24398.1,33805.7,21846.6,26408.7,27560.2,25198.8
Q924T7,Q924T7,RNF31_MOUSE,Rnf31,E3 ubiquitin-protein ligase RNF31,,,21775.1,20925.2,,17475.9,32416.9,
Q924W7,Q924W7,DEN2B_MOUSE,Dennd2b,DENN domain-containing protein 2B,,9001.85,11480.7,13761.2,16049.2,11012.3,2761.81,9461.76
Q924Y0,Q924Y0,BODG_MOUSE,Bbox1,Gamma-butyrobetaine dioxygenase,162818,156170,159177,164881,166354,182777,245346,167542
Q924Z4,Q924Z4,CERS2_MOUSE,Cers2,Ceramide synthase 2,68453.1,109957,97770.5,115738,100044,128707,119960,118526
Q925B0,Q925B0,PAWR_MOUSE,Pawr,PRKC apoptosis WT1 regulator protein,68909,49929.8,59775.3,67774.3,64243.2,56075.5,71638,64320.7
Q925F2,Q925F2,ESAM_MOUSE,Esam,Endothelial cell-selective adhesion molecule,32526.6,36167.2,35229.6,36197.2,30931.4,24514.5,30738.7,38220.3
Q925I1,Q925I1,ATAD3_MOUSE,Atad3,ATPase family AAA domain-containing protein 3,138354,152696,163047,166023,163773,175509,184882,159932
Q925J9,Q925J9,MED1_MOUSE,Med1,Mediator of RNA polymerase II transcription subunit 1,11959.8,11308.9,11673,10685.3,13316.1,9140.36,8046.1,10526.1
Q925N0,Q925N0,SFXN5_MOUSE,Sfxn5,Sideroflexin-5,59584,60014.8,70245.1,57946.9,76157.4,62570.5,57562.4,51373.9
Q925N2,Q925N2,SFXN2_MOUSE,Sfxn2,Sideroflexin-2,116897,197873,202765,214044,205910,247446,235479,212672
Q93092,Q93092,TALDO_MOUSE,Taldo1,Transaldolase,1.79E+06,2.47E+06,2.50E+06,2.07E+06,2.38E+06,2.32E+06,2.38E+06,2.52E+06
Q99020,Q99020,ROAA_MOUSE,Hnrnpab,Heterogeneous nuclear ribonucleoprotein A/B,179288,543934,558083,396870,511421,649486,498982,605243
Q99J08,Q99J08,S14L2_MOUSE,Sec14l2,SEC14-like protein 2,2.52E+06,4.36E+06,4.20E+06,3.73E+06,4.00E+06,4.15E+06,3.82E+06,4.22E+06
Q99J09,Q99J09,MEP50_MOUSE,Wdr77,Methylosome protein WDR77,26155.5,35509.8,47597,36223.6,44934.2,45013.8,49597.4,33642.5
Q99J21,Q99J21,MCLN1_MOUSE,Mcoln1,Mucolipin-1,7605.04,8629.82,7438.75,8108.14,8467.83,5513.09,11754.9,6986.33
Q99J27,Q99J27,ACATN_MOUSE,Slc33a1,Acetyl-coenzyme A transporter 1,152932,148154,161153,203089,147321,151223,170521,137492
Q99J36,Q99J36,THUM1_MOUSE,Thumpd1,THUMP domain-containing protein 1,313037,256491,292033,292188,290134,255811,315597,269738
Q99J39,Q99J39,DCMC_MOUSE,Mlycd,"Malonyl-CoA decarboxylase, mitochondrial",167481,197091,172907,185420,200756,227100,194754,190578
Q99J45,Q99J45,NRBP_MOUSE,Nrbp1,Nuclear receptor-binding protein,9209.59,23308.8,20865.2,19761.5,17222.5,20281.4,18532.6,25904.1
Q99J47,Q99J47,DRS7B_MOUSE,Dhrs7b,Dehydrogenase/reductase SDR family member 7B,63285,60375.6,59814.8,60237.3,69418.6,71637.1,68784.9,63844.7
Q99J56,Q99J56,DERL1_MOUSE,Derl1,Derlin-1,141759,125616,129815,147492,151301,102528,136365,106383
Q99J77,Q99J77,SIAS_MOUSE,Nans,Sialic acid synthase,234590,283609,301272,255879,324795,304429,308189,338644
Q99J83,Q99J83,ATG5_MOUSE,Atg5,Autophagy protein 5,61148.2,63343,63627.9,61116.5,64192.6,56441.1,64063.9,66420.7
Q99J94,Q99J94,SO1A6_MOUSE,Slco1a6,Solute carrier organic anion transporter family member 1A6,15896,27721,37725.9,39515.1,25455.8,29694,31453.1,27785.8
Q99J94;Q9EP96,Q99J94;Q9EP96,SO1A4_MOUSE;SO1A6_MOUSE,Slco1a4;Slco1a6,Solute carrier organic anion transporter family member 1A6,101961,103972,109571,99027.8,98424.3,82310.2,84218.3,119122
Q99J94;Q9EP96;Q9QXZ6,Q91YY5;Q99J94;Q9EP96;Q9QXZ6,SO1A1_MOUSE;SO1A4_MOUSE;SO1A6_MOUSE,Slco1a1;Slco1a4;Slco1a6,Solute carrier organic anion transporter family member 1A6,,6370.53,8158.71,3540.21,13571.7,8375.2,13119,5056.37
Q99J95,Q99J95,CDK9_MOUSE,Cdk9,Cyclin-dependent kinase 9,17823.2,32020.4,29144.2,12721.8,28662.7,13232.5,14744.9,8882.57
Q99J99,Q99J99,THTM_MOUSE,Mpst,3-mercaptopyruvate sulfurtransferase,157274,202901,189720,188086,230019,210739,214195,231704
Q99JB2,Q99JB2,STML2_MOUSE,Stoml2,"Stomatin-like protein 2, mitochondrial",646736,705545,707164,746576,784949,722683,767518,689430
Q99JB8,Q99JB8,PACN3_MOUSE,Pacsin3,Protein kinase C and casein kinase II substrate protein 3,36674,51101.3,35017.6,44424.3,43132.9,38279,37597.5,41195.4
Q99JF5,Q99JF5,MVD1_MOUSE,Mvd,Diphosphomevalonate decarboxylase,161538,148113,128910,149520,134429,129779,147610,149076
Q99JF8,Q99JF8,PSIP1_MOUSE,Psip1,PC4 and SFRS1-interacting protein,126005,115350,120799,124773,126402,99079.7,126264,113651
Q99JG7,Q99JG7,TNIP2_MOUSE,Tnip2,TNFAIP3-interacting protein 2,,3715.63,2584.42,,,3544.61,,
Q99JH1,Q99JH1,RP25L_MOUSE,Rpp25l,Ribonuclease P protein subunit p25-like protein,15534.2,19111.7,16181.2,13710.7,19359.2,17173.5,18243.3,11786.5
Q99JH8;Q9CQM2,Q99JH8;Q9CQM2,ERD21_MOUSE;ERD22_MOUSE,Kdelr1;Kdelr2,ER lumen protein-retaining receptor 1,2807.52,10672.9,7829.27,21117.4,,10326.1,14129.9,15470.8
Q99JI1,Q99JI1,MSTN1_MOUSE,Mustn1,Musculoskeletal embryonic nuclear protein 1,4768.81,4334.37,8572.56,6871.34,9188.42,5743.23,6809.33,6986.19
Q99JI4,Q99JI4,PSMD6_MOUSE,Psmd6,26S proteasome non-ATPase regulatory subunit 6,91010.3,104608,89842.4,90598.2,104695,96845.5,101482,95886
Q99JI6,Q99JI6,RAP1B_MOUSE,Rap1b,Ras-related protein Rap-1b,49314.7,52146.7,51507.9,67742.4,52628.1,51729.4,65356,58935.2
Q99JP0,Q99JP0,M4K3_MOUSE,Map4k3,Mitogen-activated protein kinase kinase kinase kinase 3,13315,3582.29,7352.21,4968.33,3449.36,6653.61,7634.19,10919.6
Q99JP6,Q99JP6,HOME3_MOUSE,Homer3,Homer protein homolog 3,15859,19262.4,18547.4,18378.6,16753.1,14750.3,18024.4,16926.5
Q99JP6;Q9QWW1;Q9Z2Y3,Q99JP6;Q9QWW1;Q9Z2Y3,HOME1_MOUSE;HOME2_MOUSE;HOME3_MOUSE,Homer1;Homer2;Homer3,Homer protein homolog 3,,,228468,,,150951,199198,242384
Q99JR1,Q99JR1,SFXN1_MOUSE,Sfxn1,Sideroflexin-1,2.95E+06,2.85E+06,2.95E+06,2.92E+06,3.27E+06,2.94E+06,2.87E+06,2.84E+06
Q99JR5,Q99JR5,TINAL_MOUSE,Tinagl1,Tubulointerstitial nephritis antigen-like,11335.2,18594.3,16295.7,17243.6,11991.2,14112.1,12414.9,20223.2
Q99JR6,Q99JR6,NMNA3_MOUSE,Nmnat3,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3,,6326.6,9073.14,10264.2,7682.53,9025.83,9298.2,10215.3
Q99JT1,Q99JT1,GATB_MOUSE,Gatb,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",11935.2,11375.7,11226.5,,,7533.53,7708.27,8214.1
Q99JT5,Q99JT5,KRCC1_MOUSE,Krcc1,Lysine-rich coiled-coil protein 1,6959.23,5414.83,5751.87,6467.13,3851.25,11171.5,5239.27,2061.37
Q99JT6,Q99JT6,TLCD1_MOUSE,Tlcd1,TLC domain-containing protein 1,28945.9,,21962,31015.4,26930.2,22624.1,32212.5,23223
Q99JT9,Q99JT9,MTND_MOUSE,Adi1,Acireductone dioxygenase,165480,185839,182394,172482,199007,186265,211068,200489
Q99JV5,Q99JV5,STAR4_MOUSE,Stard4,StAR-related lipid transfer protein 4,9542.08,12435.6,11062.6,14850.1,8013.78,6805.88,8765.12,10710.3
Q99JW1,Q7M759;Q99JW1,AB17A_MOUSE,Abhd17a,Alpha/beta hydrolase domain-containing protein 17A,9628.07,15237.6,12251.2,19614.2,15152.2,18091.9,19525.2,18357.2
Q99JW2,Q99JW2,ACY1_MOUSE,Acy1,Aminoacylase-1,267608,321296,315367,285123,324613,310782,305834,303416
Q99JW4,Q99JW4,LIMS1_MOUSE,Lims1,LIM and senescent cell antigen-like-containing domain protein 1,168458,175749,194932,175919,168785,165092,189370,172273
Q99JX1,Q99JX1,TAF11_MOUSE,Taf11,Transcription initiation factor TFIID subunit 11,,2694.6,,,,,,
Q99JX3,Q99JX3,GORS2_MOUSE,Gorasp2,Golgi reassembly-stacking protein 2,142484,131659,142655,131037,158550,142537,136711,132028
Q99JX4,Q99JX4,EIF3M_MOUSE,Eif3m,Eukaryotic translation initiation factor 3 subunit M,32213.8,35243.8,35781,29890,26073.7,31926.1,29617.9,28612.4
Q99JY0,Q99JY0,ECHB_MOUSE,Hadhb,"Trifunctional enzyme subunit beta, mitochondrial",582113,762650,779027,694879,728724,715860,778915,780014
Q99JY3,Q99JY3,GIMA4_MOUSE,Gimap4,GTPase IMAP family member 4,121840,139797,124586,125889,127739,127941,137721,129073
Q99JY4,Q99JY4,TRABD_MOUSE,Trabd,TraB domain-containing protein,107553,170316,176565,160116,186380,175909,170037,172607
Q99JY8,Q99JY8,PLPP3_MOUSE,Plpp3,Phospholipid phosphatase 3,250640,238195,231084,262622,236991,216570,232097,257748
Q99JY9,Q99JY9,ARP3_MOUSE,Actr3,Actin-related protein 3,594844,651726,730599,587323,734355,746247,706998,691551
Q99JZ7,Q99JZ7,ERRFI_MOUSE,Errfi1,ERBB receptor feedback inhibitor 1,31918.6,35674.2,38785.7,41665.1,37720.4,31206.7,46896.7,39572
Q99K01,Q99K01,PDXD1_MOUSE,Pdxdc1,Pyridoxal-dependent decarboxylase domain-containing protein 1,36867.7,49101.6,47632.9,49917.1,53996.8,54725.9,56127.2,53906.2
Q99K23,Q99K23,UFSP2_MOUSE,Ufsp2,Ufm1-specific protease 2,9282.69,8203.66,9619.85,8139.82,7718.23,8254.19,10876.7,8779.39
Q99K28,Q99K28,ARFG2_MOUSE,Arfgap2,ADP-ribosylation factor GTPase-activating protein 2,215126,251970,272372,258632,252470,258058,290718,250548
Q99K30,Q99K30,ES8L2_MOUSE,Eps8l2,Epidermal growth factor receptor kinase substrate 8-like protein 2,80763.9,91346,91265.3,90880.3,93140.8,89246.2,91227.4,93017.2
Q99K41,Q99K41,EMIL1_MOUSE,Emilin1,EMILIN-1,,5229.03,6473.97,,,5207.28,6826.99,6956.93
Q99K48,Q99K48,NONO_MOUSE,Nono,Non-POU domain-containing octamer-binding protein,34904.6,39728.1,37399.6,41260.2,46005.8,40550.4,36997.3,42011.5
Q99K51,Q99K51,PLST_MOUSE,Pls3,Plastin-3,986990,1.07E+06,1.11E+06,975564,1.11E+06,1.06E+06,1.13E+06,1.15E+06
Q99K67,Q99K67,AASS_MOUSE,Aass,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",304879,381024,360007,362806,382464,408789,368516,419853
Q99K70,Q99K70,RRAGC_MOUSE,Rragc,Ras-related GTP-binding protein C,123622,115481,126378,136542,124504,122563,136012,110466
Q99K74,Q99K74,MED24_MOUSE,Med24,Mediator of RNA polymerase II transcription subunit 24,111617,83135.6,57955.4,110495,64125.5,40459.1,76431.7,72411.2
Q99K85,Q99K85,SERC_MOUSE,Psat1,Phosphoserine aminotransferase,16120,18003.6,16858.9,18640.4,14754.3,13884.7,15128.4,15082
Q99K90,Q99K90,TAB2_MOUSE,Tab2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,4900.45,8308.45,3746.07,8070.97,6678.49,4481.97,5431.78,5699.94
Q99K95,Q99K95,RTF2_MOUSE,Rtf2,Replication termination factor 2,39424.9,44902.2,44031.9,42223.7,45941.2,38817.5,42015.6,44095.9
Q99K99,Q99K99,CD019_MOUSE,,Uncharacterized protein C4orf19 homolog,17421,12902.1,16407,22236.5,22274.2,13863.9,20678.7,22499.2
Q99KB8,Q99KB8,GLO2_MOUSE,Hagh,"Hydroxyacylglutathione hydrolase, mitochondrial",1.02E+06,1.31E+06,1.30E+06,1.16E+06,1.37E+06,1.27E+06,1.33E+06,1.33E+06
Q99KC8,Q99KC8,VMA5A_MOUSE,Vwa5a,von Willebrand factor A domain-containing protein 5A,236703,253848,234614,223392,243454,243891,269475,240282
Q99KD5,Q99KD5,UN45A_MOUSE,Unc45a,Protein unc-45 homolog A,52142.6,91478.1,60063.2,80650.6,40905.9,54070.5,45038.8,84807.5
Q99KE1,Q99KE1,MAOM_MOUSE,Me2,"NAD-dependent malic enzyme, mitochondrial",33023,40836.6,36722.3,36220.7,42338.8,38006,39892.8,39257.8
Q99KF1,Q99KF1,TMED9_MOUSE,Tmed9,Transmembrane emp24 domain-containing protein 9,74829.9,100929,121046,88528,128401,114416,108819,134463
Q99KG3,Q99KG3,RBM10_MOUSE,Rbm10,RNA-binding protein 10,51954.3,52831.9,52126,51513.6,57454.6,51355.8,52844.4,49703
Q99KG5,Q99KG5,LSR_MOUSE,Lsr,Lipolysis-stimulated lipoprotein receptor,54534.8,99608.2,121764,94174,92919.3,101604,88901.2,116138
Q99KG7,Q99KG7,HPS4_MOUSE,Hps4,BLOC-3 complex member HPS4,5327,,,,,3295.13,,2611.93
Q99KH8,Q99KH8,STK24_MOUSE,Stk24,Serine/threonine-protein kinase 24,133884,145261,131601,109096,138524,85552.4,101216,94467.4
Q99KI0,Q99KI0,ACON_MOUSE,Aco2,"Aconitate hydratase, mitochondrial",947313,1.44E+06,1.36E+06,1.18E+06,1.37E+06,1.42E+06,1.36E+06,1.40E+06
Q99KI3,Q99KI3,EMC3_MOUSE,Emc3,ER membrane protein complex subunit 3,8252.41,9817.42,6703.36,8604.66,7680.85,8725.67,6414.49,6961.68
Q99KJ8,Q99KJ8,DCTN2_MOUSE,Dctn2,Dynactin subunit 2,197939,239796,234217,209210,239777,240048,241653,241649
Q99KK1,Q99KK1,REEP3_MOUSE,Reep3,Receptor expression-enhancing protein 3,253581,283187,245636,255766,237327,239965,265688,239408
Q99KK2,Q99KK2,NEUA_MOUSE,Cmas,N-acylneuraminate cytidylyltransferase,40729.5,17412.2,23760.5,20485.3,9712.1,19525.8,17675.2,13626.7
Q99KK7,Q99KK7,DPP3_MOUSE,Dpp3,Dipeptidyl peptidase 3,129261,122840,118007,141335,130137,122210,119728,131926
Q99KK9,Q99KK9,SYHM_MOUSE,Hars2,"Histidine--tRNA ligase, mitochondrial",87231.5,85288.2,78146.9,85218.5,85444.2,69955.4,83533.4,84371.9
Q99KN2,Q99KN2,CIAO1_MOUSE,Ciao1,Probable cytosolic iron-sulfur protein assembly protein CIAO1,36615.8,59340,64485.9,54269.6,70677.4,75310.5,60997.9,63880.3
Q99KN9,Q99KN9,EPN4_MOUSE,Clint1,Clathrin interactor 1,252878,253975,236695,232396,257944,263869,272791,235038
Q99KP3,Q99KP3,CRYL1_MOUSE,Cryl1,Lambda-crystallin homolog,200855,238400,235719,217888,218630,285970,243501,236180
Q99KP6,Q99KP6,PRP19_MOUSE,Prpf19,Pre-mRNA-processing factor 19,593609,619113,598977,551957,624586,552905,645059,636651
Q99KQ4,Q99KQ4,NAMPT_MOUSE,Nampt,Nicotinamide phosphoribosyltransferase,1.56E+06,1.74E+06,1.87E+06,1.59E+06,1.97E+06,1.89E+06,1.95E+06,1.89E+06
Q99KR3,Q99KR3,LACB2_MOUSE,Lactb2,Endoribonuclease LACTB2,1.06E+06,1.39E+06,1.48E+06,1.27E+06,1.72E+06,1.66E+06,1.46E+06,1.56E+06
Q99KR7,Q99KR7,PPIF_MOUSE,Ppif,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",205737,247426,278494,225607,259844,251403,272976,282604
Q99KS2,Q99KS2,NGRN_MOUSE,Ngrn,Neugrin,15041.6,18149.6,15613.6,11568.8,7260.65,15925.9,16329.5,16208.2
Q99KU0,Q99KU0,VMP1_MOUSE,Vmp1,Vacuole membrane protein 1,178149,252624,286432,254960,291607,293651,322662,313466
Q99KU1,Q99KU1,DHDDS_MOUSE,Dhdds,Dehydrodolichyl diphosphate synthase complex subunit Dhdds,,2608.19,3805.55,3792.07,,2757.52,3406.64,
Q99KU6,Q99KU6,CF089_MOUSE,,Bombesin receptor-activated protein C6orf89 homolog,43133,37685.2,37728,39378.3,33065.8,33102.6,40678.2,35442
Q99KV1,Q99KV1,DJB11_MOUSE,Dnajb11,DnaJ homolog subfamily B member 11,298202,297036,329709,306561,345013,333781,347727,340801
Q99KW3,Q99KW3,TARA_MOUSE,Triobp,TRIO and F-actin-binding protein,188191,185219,191628,236911,198963,171012,194767,183978
Q99KW9,Q99KW9,TIP_MOUSE,Itfg1,T-cell immunomodulatory protein,46345.7,32401.3,37372.9,33578.8,42369.1,39835.2,44124.4,38070.7
Q99KX1,Q99KX1,MLF2_MOUSE,Mlf2,Myeloid leukemia factor 2,,5044.92,8672.94,8268.24,,7061.26,8544.94,8497.65
Q99KY4,Q99KY4,GAK_MOUSE,Gak,Cyclin-G-associated kinase,53421.3,61228.9,52994.8,39176.5,58878.9,37277,37372,39616.4
Q99L02,Q99L02,PGR1A_MOUSE,Pagr1a,PAXIP1-associated glutamate-rich protein 1A,79890.8,68881.3,77605.1,85892,61497.4,41304,69239.5,70324.3
Q99L04,Q99L04,DHRS1_MOUSE,Dhrs1,Dehydrogenase/reductase SDR family member 1,1.02E+06,1.12E+06,1.17E+06,1.15E+06,1.14E+06,1.26E+06,1.27E+06,1.15E+06
Q99L13,Q99L13,3HIDH_MOUSE,Hibadh,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",6.04E+06,7.60E+06,6.79E+06,5.50E+06,6.99E+06,5.96E+06,5.94E+06,7.35E+06
Q99L20,Q99L20,GSTT3_MOUSE,Gstt3,Glutathione S-transferase theta-3,1.11E+06,1.59E+06,1.75E+06,1.44E+06,1.62E+06,1.83E+06,1.57E+06,1.70E+06
Q99L27,Q99L27,GMPR2_MOUSE,Gmpr2,GMP reductase 2,102639,117497,124898,95595.1,115236,142548,136440,120921
Q99L27;Q9DCZ1,Q99L27;Q9DCZ1,GMPR1_MOUSE;GMPR2_MOUSE,Gmpr;Gmpr2,GMP reductase 2,248794,220113,241720,231539,233685,168225,192270,228896
Q99L43,Q99L43,CDS2_MOUSE,Cds2,Phosphatidate cytidylyltransferase 2,99583.3,124112,122998,98957.3,102778,111390,121045,102069
Q99L45,Q99L45,IF2B_MOUSE,Eif2s2,Eukaryotic translation initiation factor 2 subunit 2,642228,660086,647801,688179,717725,691266,808680,660102
Q99L47,Q99L47,F10A1_MOUSE,St13,Hsc70-interacting protein,1.06E+06,1.32E+06,1.37E+06,1.25E+06,1.27E+06,1.09E+06,1.25E+06,1.29E+06
Q99L85,Q99L85,ELP5_MOUSE,Elp5,Elongator complex protein 5,15737.2,13521.4,13409.2,15280.9,18305.6,15170.3,17390.7,13162.3
Q99L88,Q99L88,SNTB1_MOUSE,Sntb1,Beta-1-syntrophin,54466.4,77025.7,69569,68122.3,66964.9,69141.8,68227.8,71601.4
Q99LB2,Q99LB2,DHRS4_MOUSE,Dhrs4,Dehydrogenase/reductase SDR family member 4,362344,593651,592706,507215,541540,555140,582161,621883
