Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/0b/cd9f8e0d84ba1195e591146376f93f/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep3_R1.mzML,/nextflow_runs/work/d7/f784ad75390802c2c3b005e80fff55/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep2_R1.mzML,/nextflow_runs/work/a1/85649604e2b2415d2f64f44be281e9/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep4_R1.mzML,/nextflow_runs/work/56/7b52e7aeb74109b02169869c2d7ecc/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep4_R1.mzML,/nextflow_runs/work/1a/e8750790b3adc3a7a1a37645361f80/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep1_R1.mzML,/nextflow_runs/work/3e/0970b23559fe20edc6370815db8ee6/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep1_R1.mzML,/nextflow_runs/work/20/b9465cbeac6ea65d7bd30af785176a/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep2_R1.mzML,/nextflow_runs/work/70/9fc6e04e87ba43745794f5582a1775/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep3_R1.mzML
Q9JLJ2,Q9JLJ2,AL9A1_MOUSE,Aldh9a1,4-trimethylaminobutyraldehyde dehydrogenase,1.55E+06,1.10E+06,1.30E+06,1.51E+06,1.35E+06,1.23E+06,1.46E+06,1.23E+06
Q9JLJ4,Q9JLJ4,ELOV2_MOUSE,Elovl2,Elongation of very long chain fatty acids protein 2,38278.9,47495.2,30146.4,22678.2,38932.8,51384.2,58897.9,17872.9
Q9JLJ5,Q9JLJ5,ELOV1_MOUSE,Elovl1,Elongation of very long chain fatty acids protein 1,10035.6,11335.4,8768.62,6056.13,5275.15,6412.31,4558.43,6715.09
Q9JLM4,Q9JLM4,ZMYM3_MOUSE,Zmym3,Zinc finger MYM-type protein 3,5271.42,1290.8,4239.96,,3892.51,4383.95,4396.39,3248.25
Q9JLM9,Q9JLM9,GRB14_MOUSE,Grb14,Growth factor receptor-bound protein 14,19555.9,22005.8,14497.8,9574.76,17100.2,18302.8,13197.1,14092.8
Q9JLQ0,Q9JLQ0,CD2AP_MOUSE,Cd2ap,CD2-associated protein,43330.2,50477.6,57194.7,57300.1,61589.6,64959.1,66850.4,48976.2
Q9JLQ2,Q9JLQ2,GIT2_MOUSE,Git2,ARF GTPase-activating protein GIT2,6088.03,8957.06,7008.56,3458.13,5957.7,5813.26,7342.4,5351.08
Q9JLR1,Q9JLR1,S61A2_MOUSE,Sec61a2,Protein transport protein Sec61 subunit alpha isoform 2,,,2234.13,2960.03,2763.3,1929.83,4071.56,3307.42
Q9JLT4,Q9JLT4,TRXR2_MOUSE,Txnrd2,"Thioredoxin reductase 2, mitochondrial",77705.4,71123.5,92622.2,79148.6,94502,108561,92163.5,63751.9
Q9JLV1,Q9JLV1,BAG3_MOUSE,Bag3,BAG family molecular chaperone regulator 3,635956,542648,623805,601099,626469,592037,686197,523386
Q9JLV5,Q9JLV5,CUL3_MOUSE,Cul3,Cullin-3,14314.5,10280.1,10043.1,12633.2,8128.56,8269.86,9298.49,7710.11
Q9JLZ3,Q9JLZ3,AUHM_MOUSE,Auh,"Methylglutaconyl-CoA hydratase, mitochondrial",562993,793717,784078,656402,752716,705754,892373,447317
Q9JLZ8,Q9JLZ8,SIGIR_MOUSE,Sigirr,Single Ig IL-1-related receptor,10781.1,8755.97,5338.12,,7873.43,5133.48,7069.4,7693.72
Q9JM13,Q9JM13,RABX5_MOUSE,Rabgef1,Rab5 GDP/GTP exchange factor,14448.8,10423.5,8459.89,9722.73,7351.21,8317.16,9357.54,15429.8
Q9JM14,Q9JM14,NT5C_MOUSE,Nt5c,"5'(3')-deoxyribonucleotidase, cytosolic type",24344.6,23265.8,37716.4,34720.6,41002.9,60312.8,62205.2,20363
Q9JM52,Q9JM52,MINK1_MOUSE,Mink1,Misshapen-like kinase 1,9128.45,6959.65,6389.01,5780.64,7336.15,4981.73,4381.25,6998.29
Q9JM62,Q9JM62,REEP6_MOUSE,Reep6,Receptor expression-enhancing protein 6,1.39E+06,1.72E+06,1.43E+06,1.30E+06,1.38E+06,1.32E+06,1.87E+06,991491
Q9JM76,Q9JM76,ARPC3_MOUSE,Arpc3,Actin-related protein 2/3 complex subunit 3,151170,176501,204456,170089,186655,250039,230909,123704
Q9JM96,Q9JM96,BORG4_MOUSE,Cdc42ep4,Cdc42 effector protein 4,21162.7,18028.6,24593.6,20941,20350.3,18837.6,21245.9,22580.2
Q9JMA1,Q9JMA1,UBP14_MOUSE,Usp14,Ubiquitin carboxyl-terminal hydrolase 14,43668.1,57167.4,56917.4,57261.8,56140.4,58668.2,57677.3,51738.5
Q9JMA7,Q9JMA7,CP341_MOUSE,Cyp3a41a,Cytochrome P450 3A41,55941.9,41385.1,32219.1,47909.5,55320.5,55968.2,44967.5,37202.7
Q9JMB0,Q9JMB0,GKAP1_MOUSE,Gkap1,G kinase-anchoring protein 1,,,1176.11,,2374.35,,1884.62,
Q9JMD0,Q9JMD0,ZN207_MOUSE,Znf207,BUB3-interacting and GLEBS motif-containing protein ZNF207,34458.4,31798,38364.9,40627.6,41032.7,44258.3,62074.6,28773.1
Q9JMD3,Q9JMD3,STA10_MOUSE,Stard10,START domain-containing protein 10,733822,647461,725035,730934,699838,1.33E+06,870657,660108
Q9JME7,Q9JME7,TPC2L_MOUSE,Trappc2l,Trafficking protein particle complex subunit 2-like protein,20594.9,26745.5,25623.1,30476.5,16648.6,23499.4,24274.8,26832
Q9JMF7,Q9JMF7,DOPP1_MOUSE,Dolpp1,Dolichyldiphosphatase 1,2116.6,4709.19,,,1230.39,1961.84,1647.48,
Q9JMG1,Q9JMG1,EDF1_MOUSE,Edf1,Endothelial differentiation-related factor 1,519613,598428,618545,528931,601598,536213,705521,496723
Q9JMG7,Q9JMG7,HDGR3_MOUSE,Hdgfl3,Hepatoma-derived growth factor-related protein 3,74525.2,54905.3,56217,64230,52693.7,34886.5,31475.1,53942.5
Q9JMH6,Q9JMH6,TRXR1_MOUSE,Txnrd1,"Thioredoxin reductase 1, cytoplasmic",612386,849833,731888,727859,923763,867216,1.18E+06,562337
Q9JMH9,Q9JMH9,MY18A_MOUSE,Myo18a,Unconventional myosin-XVIIIa,11650.7,5067.93,8410.55,8685.02,15077.7,10634.9,11224.7,6695.64
Q9NYQ2,Q9NYQ2,HAOX2_MOUSE,Hao2,2-Hydroxyacid oxidase 2,19264,27183.6,17282.4,23382.5,18903.4,19211.7,20085.8,22112.8
Q9QUG2,Q9QUG2,POLK_MOUSE,Polk,DNA polymerase kappa,74688.2,101303,81420.8,68577.3,89534.5,84521.8,96026.3,41317.6
Q9QUH0,Q9QUH0,GLRX1_MOUSE,Glrx,Glutaredoxin-1,25554.9,33680.2,40801,41032.4,51082.4,42648.6,41670.8,35827.7
Q9QUI0,Q9QUI0,RHOA_MOUSE,Rhoa,Transforming protein RhoA,241286,249912,218981,204297,215960,294248,283225,208500
Q9QUJ7,Q9QUJ7,ACSL4_MOUSE,Acsl4,Long-chain-fatty-acid--CoA ligase 4,,,4619.01,2238.08,3542.69,2745.48,1433.53,8222.79
Q9QUK9;Q9R0T7,Q9QUK9;Q9R0T7,TRY4_MOUSE;TRY5_MOUSE,Try4;Try5,Trypsin-5,33262.3,38740.7,29142.8,23227.4,33086.2,34431,28639.5,32652.1
Q9QUM0,Q9QUM0,ITA2B_MOUSE,Itga2b,Integrin alpha-IIb,,9161.9,11387.2,7738.77,8338.52,7277.2,8907.56,
Q9QUM9,Q9QUM9,PSA6_MOUSE,Psma6,Proteasome subunit alpha type-6,1.34E+06,1.18E+06,1.56E+06,1.28E+06,1.42E+06,1.37E+06,1.57E+06,892611
Q9QUR6,Q9QUR6,PPCE_MOUSE,Prep,Prolyl endopeptidase,35074.3,33064.1,31879.6,31422.2,25779.1,26168,25102.7,29103.6
Q9QUR7,Q9QUR7,PIN1_MOUSE,Pin1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,13272.7,3807.21,7375.91,9163.29,5876.52,5989.33,10743.6,12284.2
Q9QUT0,Q9QUT0,RHAG_MOUSE,Rhag,Ammonium transporter Rh type A,,2818.34,,,2606.76,2289.37,3891.05,
Q9QVP9,Q9QVP9,FAK2_MOUSE,Ptk2b,Protein-tyrosine kinase 2-beta,6138.88,9625.5,10344.4,15637.5,7019.97,6298.2,5807.49,7079.9
Q9QWG7,Q9QWG7,ST1B1_MOUSE,Sult1b1,Sulfotransferase 1B1,23855.7,32841.5,23930.1,41778.7,21422.4,27980.9,23721.2,46197.6
Q9QWK4,Q9QWK4,CD5L_MOUSE,Cd5l,CD5 antigen-like,48244,49651.3,56521.4,45501.4,45788.5,47481.8,45210.4,39143.3
Q9QWL7,Q9QWL7,K1C17_MOUSE,Krt17,"Keratin, type I cytoskeletal 17",19175.8,,1392.56,,2778.39,1640.25,1665.25,
Q9QWR8,Q9QWR8,NAGAB_MOUSE,Naga,Alpha-N-acetylgalactosaminidase,18530.4,15880.6,21926.6,18400,15045.2,19209,21141,13679.3
Q9QWV9,Q9QWV9,CCNT1_MOUSE,Ccnt1,Cyclin-T1,4734.04,7710.5,8481.25,8565.83,8530.01,7942.78,7297.39,6063.24
Q9QWW1,Q9QWW1,HOME2_MOUSE,Homer2,Homer protein homolog 2,17219.8,10423.4,11599.8,12849.2,16318.1,19385.2,18344,15687.5
Q9QWY8,Q9QWY8,ASAP1_MOUSE,Asap1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",13916.5,8576.44,10425.2,9278.94,11399.3,7960.85,8610.7,9002.98
Q9QWZ1,Q9QWZ1,RAD1_MOUSE,Rad1,Cell cycle checkpoint protein RAD1,2104.4,,,,,4249.54,3802.61,
Q9QX15,Q9QX15,CA3A1_MOUSE,Clca3a1,Calcium-activated chloride channel regulator 3A-1,8600.68,9277.9,10298.6,7405.57,8331.74,10607.2,9214.69,7477.84
Q9QX47,Q9QX47,SON_MOUSE,Son,Protein SON,23859,18621.5,30641.7,23476.8,22972.2,24740,23153.8,42191.1
Q9QX60,Q9QX60,DGUOK_MOUSE,Dguok,"Deoxyguanosine kinase, mitochondrial",86926.6,105414,73604.2,103312,86618.2,89160.2,84170.5,101487
Q9QXA5,Q9QXA5,LSM4_MOUSE,Lsm4,U6 snRNA-associated Sm-like protein LSm4,206108,228294,220159,204411,217577,171438,212268,140089
Q9QXC1,Q9QXC1,FETUB_MOUSE,Fetub,Fetuin-B,75251.3,87550.9,87498.9,108406,97257.1,71257.7,92100.4,65886.3
Q9QXD1,Q9QXD1,ACOX2_MOUSE,Acox2,Peroxisomal acyl-coenzyme A oxidase 2,68536.5,66027.4,77041.3,68798.5,80381.9,88438.9,80481.6,62230.4
Q9QXD6,Q9QXD6,F16P1_MOUSE,Fbp1,"Fructose-1,6-bisphosphatase 1",6.27E+06,6.28E+06,7.09E+06,7.23E+06,9.04E+06,7.71E+06,8.91E+06,4.14E+06
Q9QXD8,Q9QXD8,LIMD1_MOUSE,Limd1,LIM domain-containing protein 1,7193.91,25142.5,23388.6,12424.8,21424,23065.6,20141.7,8913.5
Q9QXE0,Q9QXE0,HACL1_MOUSE,Hacl1,2-hydroxyacyl-CoA lyase 1,2.62E+06,2.85E+06,3.06E+06,2.78E+06,3.26E+06,2.88E+06,2.71E+06,1.85E+06
Q9QXE7,Q9QXE7,TBL1X_MOUSE,Tbl1x,F-box-like/WD repeat-containing protein TBL1X,11889.1,8851.48,10314.1,16202.1,10608.1,15234.6,12875.4,8838.05
Q9QXF8,Q9QXF8,GNMT_MOUSE,Gnmt,Glycine N-methyltransferase,1.67E+06,251558,1.26E+06,1.62E+06,881424,952384,735605,1.46E+06
Q9QXG2,Q9QXG2,RAE1_MOUSE,Chm,Rab proteins geranylgeranyltransferase component A 1,35563.8,32146.6,32994.2,38144.6,36386.6,39862.1,36239.6,43510.8
Q9QXG4,Q9QXG4,ACSA_MOUSE,Acss2,"Acetyl-coenzyme A synthetase, cytoplasmic",61384.1,74101.7,67231.6,57928.3,66998.4,81329.8,77832.7,47525.8
Q9QXK3,Q9QXK3,COPG2_MOUSE,Copg2,Coatomer subunit gamma-2,4843.12,3008.85,5193.94,9782.11,5671.62,5197.91,5106.9,4054.68
Q9QXK3;Q9QZE5,Q9QXK3;Q9QZE5,COPG1_MOUSE;COPG2_MOUSE,Copg1;Copg2,Coatomer subunit gamma-2,42023.4,50320.3,58862.1,39811.9,42872.9,53787.9,44064,52754.7
Q9QXK7,Q9QXK7,CPSF3_MOUSE,Cpsf3,Cleavage and polyadenylation specificity factor subunit 3,,7038.42,4731.34,,5238.66,4466.94,6850.69,6696.9
Q9QXM0,Q9QXM0,ABHD2_MOUSE,Abhd2,Monoacylglycerol lipase ABHD2,2066.97,3800.19,,,3314.93,4069.92,3201.74,
Q9QXN3,Q9QXN3,TRIP4_MOUSE,Trip4,Activating signal cointegrator 1,10607.8,11666,18076.9,12048.5,9191.59,10147.6,9469.33,9134.9
Q9QXP6,Q9QXP6,MKRN1_MOUSE,Mkrn1,E3 ubiquitin-protein ligase makorin-1,6137.75,3515.48,2821.29,,6223.2,2804.17,7171.73,4414.36
Q9QXP7,Q9QXP7,C1QT1_MOUSE,C1qtnf1,Complement C1q tumor necrosis factor-related protein 1,6940.7,6989.15,18488.6,,21686.4,11262.4,12543.6,18672.1
Q9QXS1,Q9QXS1,PLEC_MOUSE,Plec,Plectin,17805.6,24053.8,25856.2,30608.6,19716.5,21865.4,17766.5,20789.4
Q9QXS6,Q9QXS6,DREB_MOUSE,Dbn1,Drebrin,10276,4210.91,4384.76,,2782.35,3536.9,4664.25,10881.3
Q9QXT0,Q9QXT0,CNPY2_MOUSE,Cnpy2,Protein canopy homolog 2,1.02E+06,1.20E+06,1.22E+06,1.07E+06,1.06E+06,1.18E+06,1.71E+06,688634
Q9QXV1,Q9QXV1,CBX8_MOUSE,Cbx8,Chromobox protein homolog 8,,,,,,2205.4,,2878.26
Q9QXW9,Q9QXW9,LAT2_MOUSE,Slc7a8,Large neutral amino acids transporter small subunit 2,6100.89,5015.2,4715.6,7892.36,7327.78,6788.95,3984.77,5837.48
Q9QXX4,Q9QXX4,S2513_MOUSE,Slc25a13,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",803097,940567,996155,925995,993365,1.11E+06,1.17E+06,600956
Q9QXY6,Q9QXY6,EHD3_MOUSE,Ehd3,EH domain-containing protein 3,13688.8,16297.4,16030.7,13435.6,12200.1,12387.4,8012.83,11040.1
Q9QXZ0,Q9QXZ0,MACF1_MOUSE,Macf1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4",2118.68,4734.38,6254.13,2577.81,4005.24,4279.02,3301.14,2192.03
Q9QXZ6,Q9QXZ6,SO1A1_MOUSE,Slco1a1,Solute carrier organic anion transporter family member 1A1,383322,327393,316491,302674,300809,317336,338280,313849
Q9QY06,Q9QY06,MYO9B_MOUSE,Myo9b,Unconventional myosin-IXb,4046.13,,,2135.31,3542.29,,1619.17,
Q9QY24,Q9QY24,ZBP1_MOUSE,Zbp1,Z-DNA-binding protein 1,13706.8,9851.52,9030.73,11209.6,11158.4,7799.03,11866.5,8570.34
Q9QY30,Q9QY30,ABCBB_MOUSE,Abcb11,Bile salt export pump,164626,81243.9,82018.5,82605.4,66039.1,62184.8,77809.4,103004
Q9QY36,Q9QY36,NAA10_MOUSE,Naa10,N-alpha-acetyltransferase 10,,3600.69,2070.63,3424.93,3920.75,3031.57,2359.96,3275.57
Q9QY76,Q9QY76,VAPB_MOUSE,Vapb,Vesicle-associated membrane protein-associated protein B,65770.6,47766.3,62758.5,56392,75577.6,67526.8,68517.6,53493.8
Q9QY76;Q9WV55,Q9QY76;Q9WV55,VAPA_MOUSE;VAPB_MOUSE,Vapa;Vapb,Vesicle-associated membrane protein-associated protein B,34800.9,38492.3,32006,26154.4,42859.6,39170.5,37462.6,32546.7
Q9QY93,Q9QY93,DCTP1_MOUSE,Dctpp1,dCTP pyrophosphatase 1,,7849.63,3744.31,7089.79,6971.25,3685.25,4898.3,6398.99
Q9QYA2,Q9QYA2,TOM40_MOUSE,Tomm40,Mitochondrial import receptor subunit TOM40 homolog,323770,355341,362025,480364,329436,322561,424874,282974
Q9QYB1,Q9QYB1,CLIC4_MOUSE,Clic4,Chloride intracellular channel protein 4,20625.8,21565.3,20615,15864.1,18066.1,19460.2,22614.8,19130.1
Q9QYB5,Q9QYB5,ADDG_MOUSE,Add3,Gamma-adducin,80018.1,90799.5,84118.3,89676.1,91856.5,79728.4,81095.6,67108.4
Q9QYB8,Q9QYB8,ADDB_MOUSE,Add2,Beta-adducin,22936.5,21084.5,19741,32355.1,24813.3,22471.5,25026.2,31317.8
Q9QYB8;Q9QYC0,Q9QYB8;Q9QYC0,ADDA_MOUSE;ADDB_MOUSE,Add1;Add2,Beta-adducin,12175.1,30217.9,6132.83,23530.2,22391,15666.1,20319.7,
Q9QYC0,Q9QYC0,ADDA_MOUSE,Add1,Alpha-adducin,81643.8,71906.3,74089.5,74109.5,66031,67390.3,70755.8,77791.8
Q9QYE6,Q9QYE6,GOGA5_MOUSE,Golga5,Golgin subfamily A member 5,39332.3,46651.9,46274.3,46780.9,49313.4,44327,46724.5,42002.2
Q9QYF1,Q9QYF1,RDH11_MOUSE,Rdh11,Retinol dehydrogenase 11,53029.8,18780.1,25892.8,32705.8,29805.2,24423.9,27807.7,34007.6
Q9QYF9,Q9QYF9,NDRG3_MOUSE,Ndrg3,Protein NDRG3,14591.5,11457.2,18880,12627,14394.3,12657.9,12027.8,15473.8
Q9QYG0,Q9QYG0,NDRG2_MOUSE,Ndrg2,Protein NDRG2,1.76E+06,1.40E+06,1.85E+06,1.87E+06,1.78E+06,1.87E+06,1.37E+06,2.03E+06
Q9QYH6,Q9QYH6,MAGD1_MOUSE,Maged1,Melanoma-associated antigen D1,6935.04,8728.57,8945.04,8051.23,8897.66,7241.28,8280.4,6625.85
Q9QYI4,Q9QYI4,DJB12_MOUSE,Dnajb12,DnaJ homolog subfamily B member 12,10492.1,10777.3,11717.3,13015.6,12341.2,13122.7,12942.1,10990.7
Q9QYI5,O54946;Q9QYI5,DNJB2_MOUSE,Dnajb2,DnaJ homolog subfamily B member 2,72559.9,71779.3,77887.8,61815.7,83246.7,68439.2,76175.7,76093.9
Q9QYJ0,Q9QYJ0,DNJA2_MOUSE,Dnaja2,DnaJ homolog subfamily A member 2,96801.9,119589,121027,124379,121033,111530,121502,61537.9
Q9QYP6,Q9QYP6,AZI2_MOUSE,Azi2,5-azacytidine-induced protein 2,4506.27,3223.55,4071.21,2675.54,1539.18,2911.51,3788.73,2888.41
Q9QYR6,Q9QYR6,MAP1A_MOUSE,Map1a,Microtubule-associated protein 1A,24374.3,29575.1,30321.5,30301.2,26750.4,19319.2,30743.7,27134.9
Q9QYR7,Q9QYR7,ACOT3_MOUSE,Acot3,Acyl-coenzyme A thioesterase 3,88370.8,72779.1,64697.2,115721,98704.9,71013.4,82635.1,62490
Q9QYR9,Q9QYR9,ACOT2_MOUSE,Acot2,"Acyl-coenzyme A thioesterase 2, mitochondrial",65263,81308.3,67073.4,77326.6,69915.2,72849.6,70341.7,68738.9
Q9QYS9,Q9QYS9,QKI_MOUSE,Qki,KH domain-containing RNA-binding protein QKI,9438.56,16375.3,19499.8,27491.5,20595.6,16360.6,18715.1,10014.5
Q9QYX7,Q9QYX7,PCLO_MOUSE,Pclo,Protein piccolo,,,1653.83,2421.39,3420.4,,1236.43,
Q9QYY0,Q9QYY0,GAB1_MOUSE,Gab1,GRB2-associated-binding protein 1,18975.4,19469,17196.5,23389.2,23730.8,19694.3,21380.4,27673.6
Q9QYY8,Q9QYY8,SPAST_MOUSE,Spast,Spastin,,985.341,,,4325.06,,541.148,2443.39
Q9QYY9,Q9QYY9,ADH4_MOUSE,Adh4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,390129,429171,374541,400360,420316,366774,368594,392129
Q9QZ06,Q9QZ06,TOLIP_MOUSE,Tollip,Toll-interacting protein,14289,8299.75,7413.11,11454.2,7029.39,7031.01,8099.33,6007.56
Q9QZ08,Q9QZ08,NAGK_MOUSE,Nagk,N-acetyl-D-glucosamine kinase,73590.5,82598.9,80837.2,71260.3,84358,84889.2,90864.1,42322.5
Q9QZ23,Q9QZ23,NFU1_MOUSE,Nfu1,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",62552.9,72428.8,98123.7,53589.3,106963,104406,110917,43375
Q9QZ25,Q9QZ25,VNN3_MOUSE,Vnn3,Vascular non-inflammatory molecule 3,7428.2,2984.67,,,5369.53,4481.79,3600.69,4745.31
Q9QZ39,Q9QZ39,SIA7A_MOUSE,St6galnac1,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",25326.9,9124.41,5416.23,13636.7,19625.9,19066.2,17967.8,13006.3
Q9QZ49,Q9QZ49,UBXN8_MOUSE,Ubxn8,UBX domain-containing protein 8,7973.11,6581.64,7048.4,5899.76,8726.91,8511.6,8870.82,7723.46
Q9QZ73,Q9QZ73;Q8BZJ7,DCNL1_MOUSE,Dcun1d1,DCN1-like protein 1,7727.16,13283,12868.7,10427.9,7229.46,12060.1,10159.9,12407.5
Q9QZ82,Q9QZ82,CP11A_MOUSE,Cyp11a1,"Cholesterol side-chain cleavage enzyme, mitochondrial",12285.5,,4796.86,3616.92,,,,
Q9QZ85,Q9QZ85,IIGP1_MOUSE,Iigp1,Interferon-inducible GTPase 1,110561,88943,106006,107574,95319.2,98616.5,105454,93324.9
Q9QZ88,Q9QZ88,VPS29_MOUSE,Vps29,Vacuolar protein sorting-associated protein 29,55176.2,67303.3,47163.3,51361.9,60838.1,56812.1,68428.3,59820.3
Q9QZB7,Q9QZB7,ARP10_MOUSE,Actr10,Actin-related protein 10,18844.5,23424,23178.1,24911,24398.5,28481.2,26918.1,16389.1
Q9QZB9,Q9QZB9,DCTN5_MOUSE,Dctn5,Dynactin subunit 5,98122,61117.6,65664.8,65970,86004.9,62118.5,76970.5,45842.4
Q9QZC2,Q9QZC2,PLXC1_MOUSE,Plxnc1,Plexin-C1,6315.17,4293.23,6601.64,6920.71,4978.27,6672.4,4626.3,5689.47
Q9QZD8,Q9QZD8,DIC_MOUSE,Slc25a10,Mitochondrial dicarboxylate carrier,1.08E+06,1.23E+06,1.13E+06,933509,1.12E+06,1.23E+06,1.39E+06,846352
Q9QZD9,Q9QZD9,EIF3I_MOUSE,Eif3i,Eukaryotic translation initiation factor 3 subunit I,9768.45,3937.31,4482.51,6221.32,4612.42,8148.62,3674.18,7086.76
Q9QZE2,Q9QZE2,CLNK_MOUSE,Clnk,Cytokine-dependent hematopoietic cell linker,45863.4,47330.7,33672.1,34824.2,36038.4,,25582.7,29814.7
Q9QZE5,Q9QZE5,COPG1_MOUSE,Copg1,Coatomer subunit gamma-1,41022.9,30807.6,39491.7,35741.1,39800.7,46473.4,42999.9,32693.9
Q9QZE7,Q9QZE7,TSNAX_MOUSE,Tsnax,Translin-associated protein X,82452.8,80348.8,73278,82180.8,79616.7,81137.4,84615.9,67243.1
Q9QZH3,Q9QZH3,PPIE_MOUSE,Ppie,Peptidyl-prolyl cis-trans isomerase E,23076.7,23689.9,20170.4,32139.5,28841.6,23824,22166.4,30827.2
Q9QZH6,Q9QZH6,ECSIT_MOUSE,Ecsit,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",29489.1,45062,38601.8,29520.3,38262.5,34342.1,29602.8,33829.3
Q9QZI8,Q9QZI8,SERC1_MOUSE,Serinc1,Serine incorporator 1,,6813.49,8557.8,11190.2,9058.54,11403,11811.3,11919.3
Q9QZI9,Q9QZI9,SERC3_MOUSE,Serinc3,Serine incorporator 3,9408.87,5977.83,5349.79,2089.46,5650.38,4815.33,6194.66,6385.9
Q9QZM0,Q9QZM0,UBQL2_MOUSE,Ubqln2,Ubiquilin-2,,1757.29,2177.28,,3955.68,,5930.77,
Q9QZM2,Q9QZM2,DPOG2_MOUSE,Polg2,"DNA polymerase subunit gamma-2, mitochondrial",10708.3,20452,20772.1,18540.6,16018.4,14391.2,15320.4,21962.3
Q9QZN4,Q9QZN4,FBX6_MOUSE,Fbxo6,F-box only protein 6,44092.1,43256.6,46176.7,45166.9,49691.3,41299.2,35576.8,30226.1
Q9QZQ1,Q9QZQ1,AFAD_MOUSE,Afdn,Afadin,60947,56060.5,55785.7,56638.8,56229.4,57022.1,58549.7,56019.5
Q9QZQ8,Q9QZQ8,H2AY_MOUSE,Macroh2a1,Core histone macro-H2A.1,18553.7,17776.4,20156.3,25100.3,18573,17624.8,18795.4,17058.4
Q9QZR0,Q9QZR0,RNF25_MOUSE,Rnf25,E3 ubiquitin-protein ligase RNF25,14462.8,23190.2,17294,20045.6,15590.6,18224.6,20144.7,18596.1
Q9QZS0,Q9QZS0,CO4A3_MOUSE,Col4a3,Collagen alpha-3(IV) chain,,,,,,,11336.5,
Q9QZS2,Q9QZS2,RNF4_MOUSE,Rnf4,E3 ubiquitin-protein ligase RNF4,8525.28,4618.38,6070.1,6431.88,6257.08,6340.52,6605.39,6240.39
Q9QZS3,Q9QZS3,NUMB_MOUSE,Numb,Protein numb homolog,25032.8,24744.8,27996.1,27981.5,26537.2,26713.3,23806.2,21472.7
Q9QZS5,Q9QZS5,SGK2_MOUSE,Sgk2,Serine/threonine-protein kinase Sgk2,28599.4,,35289.1,37807.8,21220.8,,23073.8,
Q9QZW0,Q9QZW0,AT11C_MOUSE,Atp11c,Phospholipid-transporting ATPase 11C,399393,336491,330632,313802,289661,278888,308068,294303
Q9QZX7,Q9QZX7,SRR_MOUSE,Srr,Serine racemase,,,,,2203.55,905.008,3180.82,
Q9R008,Q9R008,KIME_MOUSE,Mvk,Mevalonate kinase,87557.5,101438,87244.6,87845.4,98988.8,95899.4,85210,101487
Q9R013,Q9R013,CATF_MOUSE,Ctsf,Cathepsin F,14856,23435.5,28735.3,18682.4,32426,30867.8,23194.8,12526.6
Q9R020,Q9R020,ZRAB2_MOUSE,Zranb2,Zinc finger Ran-binding domain-containing protein 2,46265.7,48298.9,61059.6,60850.6,57411.8,60382.6,65634.4,52291.3
Q9R022,Q9R022,DJC12_MOUSE,Dnajc12,DnaJ homolog subfamily C member 12,5086.68,3328.56,9104.72,5110.18,5468.29,3772.28,5569.08,4534.59
Q9R049,Q9R049,AMFR_MOUSE,Amfr,E3 ubiquitin-protein ligase AMFR,9982.87,10481.5,11118.5,9384.75,8015.41,4863.61,9964.97,7366.97
Q9R060,Q9R060,NUBP1_MOUSE,Nubp1,Cytosolic Fe-S cluster assembly factor NUBP1,26637.6,32451.3,25838.5,24574,34082.2,36455.1,30363.5,21339.4
Q9R062,Q9R062,GLYG_MOUSE,Gyg1,Glycogenin-1,172987,202922,222601,88100,207113,199356,359086,180938
Q9R069,Q9R069,BCAM_MOUSE,Bcam,Basal cell adhesion molecule,22771.5,19210.5,22041.4,17398.1,18505.1,15329.4,19873.4,22302.1
Q9R078,Q9R078;Q6PAM0,AAKB1_MOUSE,Prkab1,5'-AMP-activated protein kinase subunit beta-1,,2855.63,,11692.1,3378.59,2665.88,4401.04,
Q9R092,Q9R092,H17B6_MOUSE,Hsd17b6,17-beta-hydroxysteroid dehydrogenase type 6,345695,162017,143919,301476,384896,197710,369982,154812
Q9R098,Q9R098,HGFA_MOUSE,Hgfac,Hepatocyte growth factor activator,21104,20003,27252.6,17794.3,21453,29019.4,25177.8,17227.9
Q9R099,Q9R099,TBL2_MOUSE,Tbl2,Transducin beta-like protein 2,15240.5,17241.4,19399.8,17096.6,22812.6,21157.3,19053.3,22631.2
